 12/09-15:34:32.032   	Copelabs4	7a:4b:87:e3:44:04	31.978127154932288
 12/09-15:35:32.032   	Copelabs4	7a:4b:87:e3:44:04	31.978127154932288
 12/09-15:36:32.032   	Copelabs4	7a:4b:87:e3:44:04	31.978127154932288
 12/09-15:37:32.032   	Copelabs4	7a:4b:87:e3:44:04	31.978127154932288
 12/09-15:38:32.032   	Copelabs4	7a:4b:87:e3:44:04	26.963801052818642
 12/09-15:39:33.033   	Copelabs4	7a:4b:87:e3:44:04	24.81328263622007
 12/09-15:40:33.033   	Copelabs4	7a:4b:87:e3:44:04	20.569224295496294
 12/09-15:41:33.033   	Copelabs4	7a:4b:87:e3:44:04	15.373449343621068
 12/09-15:42:33.033   	Copelabs4	7a:4b:87:e3:44:04	13.832310462076064
 12/09-15:43:34.034   	Copelabs4	7a:4b:87:e3:44:04	12.037272511173562
 12/09-15:44:34.034   	Copelabs4	7a:4b:87:e3:44:04	11.83060436260756
 12/09-15:45:34.034   	Copelabs4	7a:4b:87:e3:44:04	11.706603473467958
 12/09-15:46:34.034   	Copelabs4	7a:4b:87:e3:44:04	12.70521679784503
 12/09-15:47:34.034   	Copelabs4	7a:4b:87:e3:44:04	13.931233520160557
 12/09-15:48:35.035   	Copelabs4	7a:4b:87:e3:44:04	19.004374178455475
 12/09-15:49:37.037   	Copelabs4	7a:4b:87:e3:44:04	19.004374178455475
 12/09-15:50:37.037   	Copelabs4	7a:4b:87:e3:44:04	19.004374178455475
 12/09-15:51:37.037   	Copelabs4	7a:4b:87:e3:44:04	19.004374178455475
 12/09-15:52:37.037   	Copelabs4	7a:4b:87:e3:44:04	19.004374178455475
 12/09-15:53:37.037   	Copelabs4	7a:4b:87:e3:44:04	19.004374178455475
 12/09-15:54:38.038   	Copelabs4	7a:4b:87:e3:44:04	19.004374178455475
 12/09-15:55:38.038   	Copelabs4	7a:4b:87:e3:44:04	19.004374178455475
 12/09-15:56:38.038   	Copelabs4	7a:4b:87:e3:44:04	16.519321692246777
 12/09-15:57:38.038   	Copelabs4	7a:4b:87:e3:44:04	16.519321692246777
 12/09-15:58:38.038   	Copelabs4	7a:4b:87:e3:44:04	16.519321692246777
 12/09-15:59:39.039   	Copelabs4	7a:4b:87:e3:44:04	14.519833871251489
 12/09-16:00:39.039   	Copelabs4	7a:4b:87:e3:44:04	16.488825082610163
 12/09-16:01:39.039   	Copelabs4	7a:4b:87:e3:44:04	17.670219809425365
 12/09-16:02:41.041   	Copelabs4	7a:4b:87:e3:44:04	15.210372741558642
 12/09-16:03:41.041   	Copelabs4	7a:4b:87:e3:44:04	15.210372741558642
 12/09-16:04:42.042   	Copelabs4	7a:4b:87:e3:44:04	13.734464500838607
 12/09-16:05:42.042   	Copelabs4	7a:4b:87:e3:44:04	13.734464500838607
 12/09-16:06:42.042   	Copelabs4	7a:4b:87:e3:44:04	13.734464500838607
 12/09-16:07:42.042   	Copelabs4	7a:4b:87:e3:44:04	13.734464500838607
 12/09-16:08:43.043   	Copelabs4	7a:4b:87:e3:44:04	13.734464500838607
 12/09-16:09:43.043   	Copelabs4	7a:4b:87:e3:44:04	13.734464500838607
 12/09-16:10:45.045   	Copelabs4	7a:4b:87:e3:44:04	13.734464500838607
 12/09-16:11:45.045   	Copelabs4	7a:4b:87:e3:44:04	7.579786915808226
 12/09-16:12:45.045   	Copelabs4	7a:4b:87:e3:44:04	7.579786915808226
 12/09-16:13:45.045   	Copelabs4	7a:4b:87:e3:44:04	7.579786915808226
 12/09-16:14:45.045   	Copelabs4	7a:4b:87:e3:44:04	7.579786915808226
 12/09-16:15:46.046   	Copelabs4	7a:4b:87:e3:44:04	7.579786915808226
 12/09-16:16:46.046   	Copelabs4	7a:4b:87:e3:44:04	7.9143172281224325
 12/09-16:17:46.046   	Copelabs4	7a:4b:87:e3:44:04	7.78050510319675
 12/09-16:18:46.046   	Copelabs4	7a:4b:87:e3:44:04	8.406189295845973
 12/09-16:19:46.046   	Copelabs4	7a:4b:87:e3:44:04	8.41015865614508
 12/09-16:20:47.047   	Copelabs4	7a:4b:87:e3:44:04	8.41015865614508
 12/09-16:21:47.047   	Copelabs4	7a:4b:87:e3:44:04	8.783981427614972
 12/09-16:22:47.047   	Copelabs4	7a:4b:87:e3:44:04	8.302303622892273
 12/09-16:23:49.049   	Copelabs4	7a:4b:87:e3:44:04	8.302303622892273
 12/09-16:24:49.049   	Copelabs4	7a:4b:87:e3:44:04	8.302303622892273
 12/09-16:25:49.049   	Copelabs4	7a:4b:87:e3:44:04	9.589623029638787
 12/09-16:26:51.051   	Copelabs4	7a:4b:87:e3:44:04	9.589623029638787
 12/09-16:27:51.051   	Copelabs4	7a:4b:87:e3:44:04	9.9040846564923
 12/09-16:28:51.051   	Copelabs4	7a:4b:87:e3:44:04	11.623705507659633
 12/09-16:29:52.052   	Copelabs4	7a:4b:87:e3:44:04	14.751148064455048
 12/09-16:30:52.052   	Copelabs4	7a:4b:87:e3:44:04	13.967386023846522
 12/09-16:31:52.052   	Copelabs4	7a:4b:87:e3:44:04	12.530742453016941
 12/09-16:32:52.052   	Copelabs4	7a:4b:87:e3:44:04	13.826548913263704
 12/09-16:33:52.052   	Copelabs4	7a:4b:87:e3:44:04	13.412626533131714
 12/09-16:34:53.053   	Copelabs4	7a:4b:87:e3:44:04	13.164273105052523
 12/09-16:35:53.053   	Copelabs4	7a:4b:87:e3:44:04	13.164273105052523
 12/09-16:36:53.053   	Copelabs4	7a:4b:87:e3:44:04	13.015261048205007
 12/09-16:37:55.055   	Copelabs4	7a:4b:87:e3:44:04	13.015261048205007
 12/09-16:38:55.055   	Copelabs4	7a:4b:87:e3:44:04	13.015261048205007
 12/09-16:39:55.055   	Copelabs4	7a:4b:87:e3:44:04	13.015261048205007
 12/09-16:40:56.056   	Copelabs4	7a:4b:87:e3:44:04	13.015261048205007
 12/09-16:41:56.056   	Copelabs4	7a:4b:87:e3:44:04	13.015261048205007
 12/09-16:42:56.056   	Copelabs4	7a:4b:87:e3:44:04	13.015261048205007
 12/09-16:43:56.056   	Copelabs4	7a:4b:87:e3:44:04	13.015261048205007
 12/09-16:48:59.059   	Copelabs4	7a:4b:87:e3:44:04	10.37577709677257
 12/09-16:49:59.059   	Copelabs4	7a:4b:87:e3:44:04	10.37577709677257
 12/09-16:50:59.059   	Copelabs4	7a:4b:87:e3:44:04	11.906720971827795
 12/09-16:51:59.059   	Copelabs4	7a:4b:87:e3:44:04	11.906720971827795
 12/09-16:53:00.000   	Copelabs4	7a:4b:87:e3:44:04	12.26072976827017
 12/09-16:54:00.000   	Copelabs4	7a:4b:87:e3:44:04	12.26072976827017
 12/09-16:55:00.000   	Copelabs4	7a:4b:87:e3:44:04	11.094324094890025
 12/09-16:56:00.000   	Copelabs4	7a:4b:87:e3:44:04	11.773291642107509
 12/09-16:57:00.000   	Copelabs4	7a:4b:87:e3:44:04	10.095889751587796
 12/09-16:58:01.001   	Copelabs4	7a:4b:87:e3:44:04	11.174231036126171
 12/09-16:59:01.001   	Copelabs4	7a:4b:87:e3:44:04	11.174231036126171
 12/09-17:00:01.001   	Copelabs4	7a:4b:87:e3:44:04	11.174231036126171
 12/09-17:01:03.003   	Copelabs4	7a:4b:87:e3:44:04	11.174231036126171
 12/09-17:02:03.003   	Copelabs4	7a:4b:87:e3:44:04	11.174231036126171
 12/09-17:03:03.003   	Copelabs4	7a:4b:87:e3:44:04	11.174231036126171
 12/09-17:04:03.003   	Copelabs4	7a:4b:87:e3:44:04	11.174231036126171
 12/09-17:06:04.004   	Copelabs4	7a:4b:87:e3:44:04	19.44231189964817
 12/09-17:07:06.006   	Copelabs4	7a:4b:87:e3:44:04	19.44231189964817
 12/09-17:08:06.006   	Copelabs4	7a:4b:87:e3:44:04	19.44231189964817
 12/09-17:09:06.006   	Copelabs4	7a:4b:87:e3:44:04	19.44231189964817
 12/09-17:10:06.006   	Copelabs4	7a:4b:87:e3:44:04	19.44231189964817
 12/09-17:11:06.006   	Copelabs4	7a:4b:87:e3:44:04	19.44231189964817
 12/09-17:12:11.011   	Copelabs4	7a:4b:87:e3:44:04	19.44231189964817
 12/09-17:13:11.011   	Copelabs4	7a:4b:87:e3:44:04	15.0318322184264
 12/09-17:14:13.013   	Copelabs4	7a:4b:87:e3:44:04	15.0318322184264
 12/09-17:15:13.013   	Copelabs4	7a:4b:87:e3:44:04	15.0318322184264
 12/09-17:16:13.013   	Copelabs4	7a:4b:87:e3:44:04	15.0318322184264
 12/09-17:17:13.013   	Copelabs4	7a:4b:87:e3:44:04	15.0318322184264
 12/09-17:18:13.013   	Copelabs4	7a:4b:87:e3:44:04	15.0318322184264
