12/09-11:41:53.053	STATIONARY
12/09-11:42:10.010	WALKING
12/09-11:42:28.028	WALKING
12/09-11:42:45.045	STATIONARY
12/09-11:43:04.004	STATIONARY
12/09-11:43:20.020	STATIONARY
12/09-11:43:39.039	STATIONARY
12/09-11:43:55.055	STATIONARY
12/09-11:44:15.015	STATIONARY
12/09-11:44:31.031	STATIONARY
12/09-11:44:50.050	STATIONARY
12/09-11:45:06.006	STATIONARY
12/09-11:45:26.026	STATIONARY
12/09-11:45:42.042	STATIONARY
12/09-11:46:01.001	STATIONARY
12/09-11:46:17.017	STATIONARY
12/09-11:46:36.036	STATIONARY
12/09-11:46:52.052	STATIONARY
12/09-11:47:12.012	STATIONARY
12/09-11:47:28.028	STATIONARY
12/09-11:47:47.047	STATIONARY
12/09-11:48:04.004	STATIONARY
12/09-11:48:23.023	STATIONARY
12/09-11:48:39.039	STATIONARY
12/09-11:48:58.058	STATIONARY
12/09-11:49:14.014	STATIONARY
12/09-11:49:34.034	STATIONARY
12/09-11:49:50.050	STATIONARY
12/09-11:50:09.009	STATIONARY
12/09-11:50:25.025	STATIONARY
12/09-11:50:44.044	STATIONARY
12/09-11:51:01.001	STATIONARY
12/09-11:51:20.020	STATIONARY
12/09-11:51:37.037	STATIONARY
12/09-11:51:56.056	STATIONARY
12/09-11:52:12.012	STATIONARY
12/09-11:52:31.031	STATIONARY
12/09-11:52:47.047	STATIONARY
12/09-11:53:06.006	STATIONARY
12/09-11:53:23.023	STATIONARY
12/09-11:53:42.042	STATIONARY
12/09-11:54:02.002	STATIONARY
12/09-11:54:18.018	STATIONARY
12/09-11:54:37.037	STATIONARY
12/09-11:54:53.053	STATIONARY
12/09-11:55:09.009	STATIONARY
12/09-11:55:28.028	STATIONARY
12/09-11:55:44.044	STATIONARY
12/09-11:56:03.003	STATIONARY
12/09-11:56:20.020	STATIONARY
12/09-11:56:39.039	STATIONARY
12/09-11:56:56.056	STATIONARY
12/09-11:57:15.015	STATIONARY
12/09-11:57:31.031	STATIONARY
12/09-11:57:50.050	STATIONARY
12/09-11:58:06.006	STATIONARY
12/09-11:58:25.025	STATIONARY
12/09-11:58:42.042	STATIONARY
12/09-11:59:01.001	STATIONARY
12/09-11:59:17.017	STATIONARY
12/09-11:59:36.036	STATIONARY
12/09-11:59:53.053	STATIONARY
12/09-12:00:14.014	STATIONARY
12/09-12:00:30.030	STATIONARY
12/09-12:00:49.049	STATIONARY
12/09-12:01:05.005	STATIONARY
12/09-12:01:25.025	STATIONARY
12/09-12:01:41.041	STATIONARY
12/09-12:02:00.000	STATIONARY
12/09-12:02:16.016	STATIONARY
12/09-12:02:35.035	STATIONARY
12/09-12:02:52.052	STATIONARY
12/09-12:03:11.011	STATIONARY
12/09-12:03:30.030	STATIONARY
12/09-12:03:47.047	STATIONARY
12/09-12:04:06.006	STATIONARY
12/09-12:04:22.022	STATIONARY
12/09-12:04:41.041	STATIONARY
12/09-12:04:58.058	STATIONARY
12/09-12:05:17.017	STATIONARY
12/09-12:05:33.033	STATIONARY
12/09-12:05:49.049	STATIONARY
12/09-12:06:09.009	STATIONARY
12/09-12:06:28.028	STATIONARY
12/09-12:06:45.045	STATIONARY
12/09-12:07:04.004	STATIONARY
12/09-12:07:20.020	STATIONARY
12/09-12:07:39.039	STATIONARY
12/09-12:07:56.056	STATIONARY
12/09-12:08:15.015	STATIONARY
12/09-12:08:31.031	STATIONARY
12/09-12:08:50.050	STATIONARY
12/09-12:09:07.007	STATIONARY
12/09-12:09:26.026	STATIONARY
12/09-12:09:42.042	STATIONARY
12/09-12:10:01.001	STATIONARY
12/09-12:10:17.017	STATIONARY
12/09-12:10:36.036	STATIONARY
12/09-12:10:53.053	STATIONARY
12/09-12:11:12.012	STATIONARY
12/09-12:11:28.028	STATIONARY
12/09-12:11:47.047	STATIONARY
12/09-12:12:04.004	STATIONARY
12/09-12:12:23.023	STATIONARY
12/09-12:12:39.039	STATIONARY
12/09-12:12:58.058	STATIONARY
12/09-12:13:14.014	STATIONARY
12/09-12:13:33.033	STATIONARY
12/09-12:13:50.050	STATIONARY
12/09-12:14:09.009	STATIONARY
12/09-12:14:25.025	STATIONARY
12/09-12:14:44.044	STATIONARY
12/09-12:15:01.001	STATIONARY
12/09-12:15:20.020	STATIONARY
12/09-12:15:37.037	STATIONARY
12/09-12:15:56.056	STATIONARY
12/09-12:16:12.012	STATIONARY
12/09-12:16:31.031	STATIONARY
12/09-12:16:48.048	STATIONARY
12/09-12:17:07.007	STATIONARY
12/09-12:17:23.023	STATIONARY
12/09-12:17:42.042	STATIONARY
12/09-12:17:59.059	STATIONARY
12/09-12:18:18.018	STATIONARY
12/09-12:18:34.034	STATIONARY
12/09-12:18:53.053	STATIONARY
12/09-12:19:13.013	STATIONARY
12/09-12:19:29.029	STATIONARY
12/09-12:19:48.048	STATIONARY
12/09-12:20:04.004	STATIONARY
12/09-12:20:23.023	STATIONARY
12/09-12:20:39.039	STATIONARY
12/09-12:20:56.056	STATIONARY
12/09-12:21:15.015	STATIONARY
12/09-12:21:34.034	STATIONARY
12/09-12:21:51.051	STATIONARY
12/09-12:22:10.010	STATIONARY
12/09-12:22:26.026	STATIONARY
12/09-12:22:45.045	STATIONARY
12/09-12:23:01.001	STATIONARY
12/09-12:23:20.020	STATIONARY
12/09-12:23:37.037	STATIONARY
12/09-12:23:56.056	STATIONARY
12/09-12:24:13.013	STATIONARY
12/09-12:24:32.032	STATIONARY
12/09-12:24:48.048	STATIONARY
12/09-12:25:07.007	STATIONARY
